compound	reaction	type	A2O_abundance	AO_abundance
C00001	R10935	NA	0.012578616352201259	0.02040816326530612
C00009	R10935	NA	0.012578616352201259	0.02040816326530612
C00118	R10935	NA	0.012578616352201259	0.02040816326530612
C20954	R10935	NA	0.012578616352201259	0.02040816326530612
C00009	R10937	NA	0.018867924528301886	0.01020408163265306
C17691	R10937	NA	0.018867924528301886	0.01020408163265306
C20956	R10937	NA	0.018867924528301886	0.01020408163265306
C00001	R10936	NA	0.031446540880503145	0.030612244897959183
C00010	R10936	NA	0.031446540880503145	0.030612244897959183
C00011	R10936	NA	0.031446540880503145	0.030612244897959183
C00084	R10936	NA	0.031446540880503145	0.030612244897959183
C00409	R10936	NA	0.031446540880503145	0.030612244897959183
C20955	R10936	NA	0.031446540880503145	0.030612244897959183
C00005	R10931	NA	0.08176100628930817	0.04081632653061224
C00006	R10931	NA	0.08176100628930817	0.04081632653061224
C00009	R10931	NA	0.08176100628930817	0.04081632653061224
C00080	R10931	NA	0.08176100628930817	0.04081632653061224
C20949	R10931	NA	0.08176100628930817	0.04081632653061224
C20950	R10931	NA	0.08176100628930817	0.04081632653061224
C00002	R10930	NA	0.11320754716981132	0.08163265306122448
C00008	R10930	NA	0.11320754716981132	0.08163265306122448
C20948	R10930	NA	0.11320754716981132	0.08163265306122448
C20949	R10930	NA	0.11320754716981132	0.08163265306122448
C00001	R10933	NA	0.10062893081761007	0.08163265306122448
C00077	R10933	NA	0.10062893081761007	0.08163265306122448
C19885	R10933	NA	0.10062893081761007	0.08163265306122448
C20951	R10933	NA	0.10062893081761007	0.08163265306122448
C00025	R10932	NA	0.1069182389937107	0.09183673469387756
C00026	R10932	NA	0.1069182389937107	0.09183673469387756
C20950	R10932	NA	0.1069182389937107	0.09183673469387756
C20951	R10932	NA	0.1069182389937107	0.09183673469387756
C20957	R10938	NA	0.5220125786163522	0.5408163265306123
C20958	R10938	NA	0.5220125786163522	0.5408163265306123
C00010	R08938	NA	0.41509433962264153	0.46938775510204084
C00024	R08938	NA	0.41509433962264153	0.46938775510204084
C04650	R08938	NA	0.41509433962264153	0.46938775510204084
C17952	R08938	NA	0.41509433962264153	0.46938775510204084
C00003	R08306	NA	1.3029350104821804	1.3792517006802723
